iter	Passed	Remaining
0	5	1747
1	7	1050
2	7	759
3	8	611
4	9	538
5	9	481
6	10	436
7	11	401
8	11	376
9	12	353
10	12	338
11	13	323
12	14	311
13	14	300
14	15	291
15	15	283
16	16	276
17	17	269
18	18	278
19	19	279
20	20	274
21	21	269
22	21	264
23	22	259
24	23	254
25	23	250
26	24	246
27	24	241
28	25	238
29	26	234
30	26	231
31	27	228
32	27	225
33	28	222
34	29	219
35	29	217
36	30	214
37	30	212
38	31	210
39	32	208
40	32	205
41	33	203
42	33	201
43	34	199
44	34	197
45	35	196
46	36	195
47	36	193
48	37	193
49	38	193
50	39	191
51	39	189
52	40	187
53	40	186
54	41	184
55	42	185
56	43	183
57	43	182
58	44	181
59	44	179
60	45	178
61	46	176
62	46	175
63	47	174
64	48	173
65	48	172
66	49	171
67	49	170
68	50	169
69	51	168
70	51	167
71	52	165
72	53	164
73	53	163
74	54	162
75	54	161
76	55	160
77	56	159
78	56	158
79	57	157
80	57	156
81	58	155
82	59	154
83	59	153
84	60	153
85	61	152
86	61	151
87	62	151
88	63	150
89	64	149
90	64	149
91	65	148
92	66	147
93	67	147
94	69	148
95	70	150
96	72	151
97	72	150
98	73	149
99	74	148
100	74	147
101	75	146
102	75	145
103	76	144
104	77	143
105	77	142
106	78	141
107	78	139
108	79	138
109	79	137
110	80	136
111	81	136
112	82	135
113	82	135
114	83	134
115	84	133
116	84	132
117	85	132
118	86	131
119	86	130
120	87	129
121	87	128
122	88	127
123	88	126
124	89	125
125	90	124
126	90	123
127	91	122
128	91	121
129	92	120
130	93	120
131	93	119
132	94	118
133	95	117
134	95	117
135	96	116
136	96	115
137	97	114
138	98	113
139	98	112
140	99	112
141	100	111
142	100	110
143	101	109
144	101	108
145	102	107
146	102	106
147	103	105
148	103	105
149	104	104
150	104	103
151	105	102
152	105	101
153	106	100
154	106	99
155	107	99
156	107	98
157	108	97
158	109	96
159	109	95
160	110	95
161	110	94
162	111	93
163	111	92
164	112	92
165	113	91
166	113	90
167	114	89
168	114	89
169	115	88
170	115	87
171	116	86
172	117	85
173	117	85
174	118	84
175	118	83
176	119	82
177	119	82
178	120	81
179	121	80
180	121	79
181	122	79
182	122	78
183	123	77
184	123	76
185	124	76
186	124	75
187	125	74
188	125	73
189	126	73
190	126	72
191	127	71
192	127	70
193	128	70
194	128	69
195	129	68
196	129	67
197	130	67
198	131	66
199	131	65
200	132	65
201	132	64
202	133	63
203	133	62
204	134	62
205	134	61
206	135	60
207	135	60
208	136	59
209	136	58
210	137	57
211	137	57
212	138	56
213	138	55
214	139	55
215	140	54
216	140	53
217	141	53
218	141	52
219	142	51
220	143	51
221	144	50
222	144	50
223	145	49
224	146	48
225	146	48
226	147	47
227	148	46
228	148	46
229	149	45
230	149	44
231	150	44
232	150	43
233	151	42
234	151	42
235	152	41
236	152	40
237	153	39
238	154	39
239	154	38
240	155	37
241	155	37
242	156	36
243	156	35
244	157	35
245	157	34
246	158	33
247	158	33
248	159	32
249	159	31
250	160	31
251	160	30
252	161	29
253	161	29
254	162	28
255	163	28
256	163	27
257	164	26
258	165	26
259	165	25
260	166	24
261	167	24
262	167	23
263	168	22
264	168	22
265	170	21
266	170	21
267	171	20
268	173	19
269	174	19
270	175	18
271	176	18
272	176	17
273	177	16
274	178	16
275	178	15
276	179	14
277	180	14
278	180	13
279	181	12
280	182	12
281	182	11
282	183	11
283	184	10
284	185	9
285	185	9
286	186	8
287	187	7
288	187	7
289	188	6
290	189	5
291	189	5
292	190	4
293	191	3
294	191	3
295	192	2
296	193	1
297	193	1
298	194	0
299	195	0
